No.,State,District,Date,Flood Cause,Main River Basin,latitude,longitude,geocode_status
108,Sabah,Nabawan,17/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",-,5.0436159,116.4357424,success
109,Selangor,Hulu Langat,17/04/2025,Hujan Lebat / Berterusan,Sungai Langat (LGATTP0017 - Kg. Sg. Serai),3.1132958,101.8159546,success
110,Selangor,Hulu Langat,16/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Langat (Laman Gahal Jalan Felcra Semungkis Batu 14),3.1132958,101.8159546,success
111,Selangor,Gombak,16/04/2025,"Hujan Lebat / Berterusan, Saliran Dalaman","Sungai Klang (Jalan 62, Selayang Baru); Sungai Klang (BATUTP0007 - Kg. Sg. Kertas)",3.2556281,101.6538447,success
112,Melaka,Alor Gajah,16/04/2025,Hujan Lebat / Berterusan,Sungai Melaka (MLKATP0002 - Kg. Gadek Dalam),2.3822875,102.2097982,success
113,Pulau Pinang,Timur Laut Pulau Pinang,16/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman",-,5.4140975,100.3285271,success
114,Pulau Pinang,Seberang Perai Tengah,16/04/2025,"Air Laut Pasang, Hujan Lebat / Berterusan, Lain-lain",Sungai Jawi (JJGTP00099 - Taman Jambu),5.353468,100.4517935,success
115,Pulau Pinang,Seberang Perai Tengah,16/04/2025,"Air Laut Pasang, Hujan Lebat / Berterusan, Lain-lain",Sungai Perai (KGSMTP0003 - Taman Siakap),5.353468,100.4517935,success
116,Pulau Pinang,Seberang Perai Tengah,16/04/2025,"Air Laut Pasang, Hujan Lebat / Berterusan, Lain-lain",Sungai Perai (PT4TP0045 - Kg. Dock); Sungai Perai (PRTJTP0003 - Kg. Siam); Sungai Perai (PRTJTP0002 - Kg. Kebun Sireh); Sungai Perai (Kg. Gambir),5.353468,100.4517935,success
117,Pulau Pinang,Barat Daya Pulau Pinang,16/04/2025,"Air Laut Pasang, Hujan Lebat / Berterusan, Longkang Tersumbat, Saliran Dalaman",-,5.3519033,100.2358974,success
118,Selangor,Klang,15/04/2025,"Hujan Lebat / Berterusan, Saliran Dalaman","Sungai Klang (SMK Tengku Ampuan Rahimah, Klang); Sungai Klang (Taman Selatan); Sungai Klang (KLNGTP0036 - Taman Chi Liung); Sungai Klang (Jalan Yadi, Kg. Sungai Udang)",3.0392164,101.4418818,success
119,Melaka,Jasin,15/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Longkang Tersumbat, Saliran Dalaman",Sungai Kesang (NYLSTP0001 - Kg. Masjid Baru Nyalas); Sungai Kesang (CHOTP00018 - Kg. Pondok Batang); Sungai Melaka (BTMLTP0001 - Pekan Batang Melaka),2.311337,102.4309231,success
120,Johor,Segamat,14/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Muar (MUARTP0041 - Kg. Seberang Batu Badak),2.50346,102.8207542,success
121,Sarawak,Bintulu,13/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Batang Tatau (Perkampungan Data Kakus),3.1738542,113.0428485,success
122,Johor,Pontian,13/04/2025,"Air Laut Pasang, Air Sungai Melimpah , Hujan Lebat / Berterusan, Lain-lain",Sungai Pontian Besar (PNBSTP0011 - Kg. Sri Gambut),1.4869255,103.388961,success
123,Johor,Kluang,13/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Endau (PPRT Yap Tau Sah),2.0360485,103.3311758,success
124,Sabah,Keningau,13/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Padas (Kg.Senagan Lama); Sungai Padas (kg.Keritan Laut); Sungai Padas (Kg.Kauran); Sungai Padas (Kg.27); Sungai Padas (Kg.Mempikit Laut); Sungai Padas (Kg.patikang Ulu),5.3374039,116.1566801,success
125,Sabah,Keningau,13/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Padas (Kg.Senagan Lama); Sungai Padas (Kg.patikang Ulu); Sungai Padas (Kg.Kauran); Sungai Padas (Kg.Mempikit Laut); Sungai Padas (kg.Keritan Laut); Sungai Padas (Kg.27),5.3374039,116.1566801,success
126,Selangor,Sepang,13/04/2025,"Hujan Lebat / Berterusan, Pembangunan / Pembukaan Tanah / Sampah Sarap","Sungai Langat (Jalan Salam, surau Al-Umummiyah, Jalan Sungai Mera); Sungai Langat (LGATTP0074 - Kg. Desa Putra)",2.8059607,101.7352881,success
127,Johor,Kulai,13/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Lain-lain, Saliran Dalaman",Sungai Pontian Besar (PNBSTP0006 - Kg. Melayu Bukit Batu),1.6555388,103.5975248,success
128,Johor,Johor Bahru,13/04/2025,"Air Laut Pasang, Air Sungai Melimpah , Hujan Lebat / Berterusan, Longkang Tersumbat, Saliran Dalaman , Struktur / Lintasan Menghalang Laluan Air",-,1.4798575,103.7642576,success
129,Sabah,Beaufort,13/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Padas (PADSTP0018 - Kg. Bakalau); Sungai Padas (PADSTP0036 - Kg. Binunuk); Sungai Padas (PADSTP0035 - Kg. Balibata); Sungai Padas (PADSTP0019 - Kg. Bingkul); Sungai Padas (PADSTP0051 - Kg. Suasa); Sungai Padas (PADSTP0074 - Kg. Lago); Sungai Padas (PADSTP0021 - Kg. Mempagar (SK)); Sungai Padas (PADSTP0020 - Kg. Melulugus); Sungai Padas (Kg. Kukup); Sungai Padas (PADSTP0005 - Kg. Batu 60); Sungai Padas (Kg. Kangsa); Sungai Padas (PADSTP0056 - Kg. Berumbai); Sungai Padas (Kg. Gumarit); Sungai Padas (PADSTP0048 - Kg. Lawa); Sungai Padas (Simpang 4 Chan Furniture); Sungai Padas (PADSTP0082 - Kg. Lumatai); Sungai Padas (Kg. Sungkadan),5.3455687,115.7453354,success
130,Johor,Johor Bahru,13/04/2025,"Air Laut Pasang, Hujan Lebat / Berterusan, Saliran Dalaman , Struktur / Lintasan Menghalang Laluan Air",Sungai Tebrau (KG BARU SERI AMAN); Sungai Tebrau (TBRATP0003 - Kg. Paya Kenangan); Sungai Tebrau (Jalan Kampung Maju Jaya),1.4798575,103.7642576,success
131,Negeri Sembilan,Port Dickson,13/04/2025,"Air Laut Pasang, Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Linggi (Taman Linggi Idaman),2.52254,101.7962932,success
132,Sabah,Tenom,13/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Padas (Kg. Pantongan Saga); Sungai Padas (PADSTP0104 - Kg. Mandalom Lama); Sungai Padas (PADSTP0095 - Kg. Tumantalik); Sungai Padas (Kg. Ponontomon Tanjung); Sungai Padas (Kg. Binsilon),5.1247314,115.9444858,success
133,Sabah,Tenom,13/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Padas (PADSTP0098 - Kg. Ponontomon); Sungai Padas (PADSTP0096 - Kg. Pantongan Sapong); Sungai Padas (PADSTP0101 - Kg. Enubai),5.1247314,115.9444858,success
134,Negeri Sembilan,Seremban,12/4/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Linggi (LGITP00071 - Kg. Singh),2.7277845,101.9454252,success
135,Negeri Sembilan,Seremban,12/4/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman","Sungai Linggi (LGITP00003 - Kg. Batu 3, Mambau)",2.7277845,101.9454252,success
136,Sabah,Keningau,12/4/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Padas (Kg.Mempulut); Sungai Padas (Kg.Kuala Punteh); Sungai Padas (Kg.Membulu),5.3374039,116.1566801,success
137,Pahang,Temerloh,11/4/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Longkang Tersumbat, Pembangunan / Pembukaan Tanah / Sampah Sarap, Saliran Dalaman , Struktur / Lintasan Menghalang Laluan Air",Sungai Pahang (JGKATP0032 - SK SG GAU),3.448649,102.4163482,success
138,Negeri Sembilan,Jelebu,11/4/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Pahang (KNBOTP0005 - Taman Pekan Baru),2.9410716,102.0719101,success
139,Selangor,Klang,11/4/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Longkang Tersumbat, Pembangunan / Pembukaan Tanah / Sampah Sarap, Saliran Dalaman , Struktur / Lintasan Menghalang Laluan Air",Sungai Klang (Taman Mutiara (Jalan Meru)); Sungai Klang (Taman Desa Kemuning); Sungai Klang (RSAUTP0003 - Taman Rashna); Sungai Klang (Padang Jawa); Sungai Klang (KLNGTP0023 - Taman Sri Muda),3.0392164,101.4418818,success
140,Selangor,Petaling,11/4/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman","Sungai Klang (Kg. Kuala Sungai Baru, Puchong); Sungai Klang (Batu 14, Puchong); Sungai Klang (Kg. Sri Langkas, Puchong); Sungai Klang (Kg. Kenangan, Puchong); Sungai Klang (Kg. Seri Aman Bistari); Sungai Klang (KLNGTP0063 - Kg. Bukit Lanchong); Sungai Klang (Kg. Tengah, Puchong); Sungai Klang (Kg. Baru HICOM); Sungai Klang (Kg. Padang Jawa)",3.1844294,101.5364186,success
141,Sabah,Nabawan,11/4/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",-,5.0436159,116.4357424,success
142,Pahang,Bera,11/4/2025,"Hujan Lebat / Berterusan, Saliran Dalaman",-,3.2705262,102.4538639,success
143,Selangor,Sepang,11/4/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Longkang Tersumbat, Struktur / Lintasan Menghalang Laluan Air",Sungai Langat (LGATTP0063 - Jalan Salam Sg. Merab Jaya); Sungai Langat (Kampung Dato Abu Bakar Baginda); Sungai Langat (Kampung Asli Melut),2.8059607,101.7352881,success
144,Selangor,Gombak,11/4/2025,"Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Klang (Jalan Kolam Air Lama dan di Lorong Choon Khoon Lin),3.2556281,101.6538447,success
145,Selangor,Hulu Langat,11/4/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Langat (LGATTP0021 - Kg. Felcra Sg. Semungkis),3.1132958,101.8159546,success
146,Sabah,Keningau,11/4/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Padas (Kg.Rancangan Belia Tiulon Sook),5.3374039,116.1566801,success
147,Pahang,Lipis,11/4/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman , Struktur / Lintasan Menghalang Laluan Air",Sungai Pahang (PERSTP0002 - Kg. Persit); Sungai Pahang (PERSTP0004 - Teluk Gunung),4.1792487,102.0538096,success
148,Kelantan,Jeli,9/4/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Longkang Tersumbat, Pembangunan / Pembukaan Tanah / Sampah Sarap, Saliran Dalaman",Sungai Golok (GLOKTP0001 - Kg. Lakota),5.700699,101.8431511,success
149,Sabah,Sipitang,8/4/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",-,5.07919,115.550825,success
150,Melaka,Melaka Tengah,7/4/2025,"Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Duyong (PCNATP0001 - Bukit Pulau (Parit Cina)),2.2710512,102.2886898,success
151,Melaka,Melaka Tengah,7/4/2025,"Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Melaka (MLKATP0042 - Kg. Pengkalan Rama Pantai),2.2710512,102.2886898,success
152,Kedah,Pokok Sena,6/4/2025,"Hujan Lebat / Berterusan, Saliran Dalaman , Struktur / Lintasan Menghalang Laluan Air",-,6.1684777,100.5185924,success
153,Sarawak,Kuching,5/4/2025,"Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Sarawak (SRWKTP0113 - Hospital Umum Sarawak),1.5533785,110.359503,success
154,Pahang,Bera,5/4/2025,Air Sungai Melimpah,Sungai Pahang (TRNGTP0125 - Kg. Paya Tateh),3.2705262,102.4538639,success
155,Selangor,Petaling,4/4/2025,"Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Klang (Kg. Baru HICOM); Sungai Klang (KLNGTP0070 - Laluan LDP Berhadapan IOI Mall Puchon),3.1844294,101.5364186,success
156,Selangor,Klang,4/4/2025,"Hujan Lebat / Berterusan, Pembangunan / Pembukaan Tanah / Sampah Sarap, Saliran Dalaman , Struktur / Lintasan Menghalang Laluan Air",Sungai Klang (KLNGTP0039 - Kg. Johan Setia); Sungai Klang (KLNGTP0023 - Taman Sri Muda); Sungai Klang (Taman Maznah); Sungai Klang (Taman Klang Jaya); Sungai Klang (Taman Klang Ria); Sungai Klang (KLNGTP0031 - Taman Sentosa); Sungai Klang (SAURTP0004 - Taman Saujana); Sungai Klang (Taman Sri Mewah),3.0392164,101.4418818,success
157,Selangor,Hulu Langat,4/4/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Langat (LGATTP0001 - Kg. Batu 10 Cheras); Sungai Langat (LGATTP0014 - Kg. Sg. Raya); Sungai Langat (kampung baru balakong),3.1132958,101.8159546,success
158,Perak,Kinta,4/4/2025,"Hujan Lebat / Berterusan, Lain-lain, Saliran Dalaman","Sungai Perak (Laluan Sentang 17, Batu Gajah)",4.5980891,101.0899487,success
159,Perak,Kinta,4/4/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Struktur / Lintasan Menghalang Laluan Air",Sungai Perak (Kg. Baru Nalla),4.5980891,101.0899487,success
160,Perak,Perak Tengah,4/4/2025,"Hujan Lebat / Berterusan, Saliran Dalaman , Struktur / Lintasan Menghalang Laluan Air",Sungai Perak (PRAKTP0054 - Kg. Raja),4.3630034,100.9554286,success
161,Perak,Perak Tengah,4/4/2025,"Hujan Lebat / Berterusan, Saliran Dalaman , Struktur / Lintasan Menghalang Laluan Air",Sungai Perak (Kg. Tanjung Ara),4.3630034,100.9554286,success
162,Perak,Kinta,4/4/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Struktur / Lintasan Menghalang Laluan Air","Sungai Perak (KTATP00024 - Kg. Piandang Baru, Siputeh)",4.5980891,101.0899487,success
163,Johor,Pontian,3/4/2025,"Hujan Lebat / Berterusan, Lain-lain",Sungai Pontian Besar (PNBSTP0008 - Lorong Mohsen),1.4869255,103.388961,success
164,Johor,Pontian,3/4/2025,"Hujan Lebat / Berterusan, Lain-lain",Sungai Pontian Besar (AYHTTP0001 - Kg. Paya Embun),1.4869255,103.388961,success
165,Negeri Sembilan,Jelebu,3/4/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Pahang (TRNGTP0050 - Kampung Kuala Jerang),2.9410716,102.0719101,success
166,Johor,Batu Pahat,3/4/2025,"Air Laut Pasang, Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman , Struktur / Lintasan Menghalang Laluan Air",Sungai Batu Pahat (Pt. Jalil); Sungai Batu Pahat (Pt. Yusof); Sungai Batu Pahat (Pt. Pulai); Sungai Batu Pahat (Jln Muar-Yong Peng),1.8545065,102.9464372,success
167,Johor,Batu Pahat,3/4/2025,"Air Laut Pasang, Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Batu Pahat (Pt Warijo); Sungai Batu Pahat (Pt. Basri Laut); Sungai Batu Pahat (Pt. Basri Darat); Sungai Batu Pahat (Pt. Lapis Basri); Sungai Batu Pahat (Pt Jayus Laut); Sungai Batu Pahat (Pt. Hj. Ariff); Sungai Batu Pahat (Pt. Simis),1.8545065,102.9464372,success
168,Johor,Kluang,3/4/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Benut (Kg. Sungai Rambai); Sungai Benut (BNUTTP0007 - Kg. Kolam Air),2.0360485,103.3311758,success
169,Johor,Kluang,3/4/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Johor (SYOGTP0006 - Kg. Tengah Renggam); Sungai Johor (SYOGTP0005 - Kg. Baru Renggam); Sungai Johor (SYOGTP0001 - Kg. Paya Layang-Layang); Sungai Johor (SYOGTP0003 - Rumah Murah Layang-Layang),2.0360485,103.3311758,success
170,Negeri Sembilan,Jelebu,3/4/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Pahang (TRNGTP0051 - Kampung Juntai),2.9410716,102.0719101,success
171,Negeri Sembilan,Jelebu,3/4/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Pahang (PRTGTP0005 - Kg. Lakai),2.9410716,102.0719101,success
172,Negeri Sembilan,Jempol,2/4/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Pahang (PRTGTP0007 - Kg. Kerangai),2.8965766,102.4054538,success
173,Pahang,Raub,2/4/2025,"Hujan Lebat / Berterusan, Longkang Tersumbat, Saliran Dalaman , Struktur / Lintasan Menghalang Laluan Air",Sungai Pahang (GALITP0011 - Kg. Ulu Gali),3.8067653,101.8536693,success
174,Negeri Sembilan,Kuala Pilah,2/4/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Muar (Kampung Sikai),2.7004729,102.2261837,success
175,Melaka,Alor Gajah,2/4/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Linggi (Pekan Lubok China),2.3822875,102.2097982,success
176,Terengganu,Setiu,2/4/2025,"Hujan Lebat / Berterusan, Pembangunan / Pembukaan Tanah / Sampah Sarap, Struktur / Lintasan Menghalang Laluan Air",Sungai Setiu (KG BARI BESAR),5.5213222,102.747184,success
177,Negeri Sembilan,Rembau,2/4/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Linggi (PDASTP0010 - Kg. Mincing),2.590525,102.0929861,success
178,Negeri Sembilan,Jempol,2/4/2025,"Hujan Lebat / Berterusan, Saliran Dalaman , Struktur / Lintasan Menghalang Laluan Air",Sungai Pahang (pasoh 2),2.8965766,102.4054538,success
179,Negeri Sembilan,Jempol,2/4/2025,"Hujan Lebat / Berterusan, Saliran Dalaman , Struktur / Lintasan Menghalang Laluan Air",Sungai Pahang (SRTGTP0026 - Balai Raya Serting Ulu),2.8965766,102.4054538,success
180,Selangor,Hulu Langat,1/4/2025,"Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Langat (SMYHTP0001 - Kg. Sg. Machang),3.1132958,101.8159546,success
181,Sarawak,Sri Aman,1/4/2025,"Air Laut Pasang, Air Sungai Melimpah",Batang Lupar (Kawasan Pasar Simanggang & Kpg Hulu),1.237031,111.462079,success
182,Sarawak,Sri Aman,1/4/2025,"Air Laut Pasang, Air Sungai Melimpah , Longkang Tersumbat","Batang Lupar (Kawasan Upik, Lingga)",1.237031,111.462079,success
183,Selangor,Hulu Selangor,31/03/2025,"Hujan Lebat / Berterusan, Saliran Dalaman , Struktur / Lintasan Menghalang Laluan Air",Sungai Selangor (Taman Seri Cahaya Kg. Sentosa),3.5601046,101.6583123,success
184,Kedah,Baling,31/03/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Muda (KG TOK WENG); Sungai Muda (KG TITI TEDURI); Sungai Muda (Kg Pokok Sena); Sungai Muda (KG BUKIT SEBELAH); Sungai Muda (KG BT 8); Sungai Muda (KG SEBERANG MARKET); Sungai Muda (KG LUBUK PEDATI),5.673566,100.9158818,success
185,Sarawak,Sri Aman,31/03/2025,"Air Laut Pasang, Air Sungai Melimpah",Batang Lupar (Rh. Sang Ak Biju),1.237031,111.462079,success
186,Sarawak,Sri Aman,31/03/2025,"Air Laut Pasang, Air Sungai Melimpah , Hujan Lebat / Berterusan","Batang Lupar (Rumah Francis Jua, Kaong,Skrang Engkilili); Batang Lupar (Rumah James Tekat, Nanga Skrang)",1.237031,111.462079,success
187,Sabah,Kalabakan,29/03/2025,"Hujan Lebat / Berterusan, Longkang Tersumbat, Saliran Dalaman , Struktur / Lintasan Menghalang Laluan Air",Sungai Kalabakan (Kampung Kalabakan),4.411679,117.492699,success
188,Kedah,Baling,27/03/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Muda (Kg Bukit Sebelah); Sungai Muda (Kg Siput),5.673566,100.9158818,success
189,Sabah,Keningau,27/03/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Padas (Kg Gasabon Apin-Apin),5.3374039,116.1566801,success
190,Sabah,Keningau,26/03/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Padas (Kg Gasabon Apin-Apin),5.3374039,116.1566801,success
191,Sarawak,Miri,24/03/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan","Batang Baram (Rh Rendah,Kpg Marek); Batang Baram (Rh.Henry,Kpg Mission); Batang Baram (Klinik Desa Ulu Teru); Batang Baram (Sk Pengarah Enteri); Batang Baram (Rh.Takang,kampung Empelam); Batang Baram (Rh.Abok, Kampung Mulong); Batang Baram (Rh Kalong,Kampung Rian,Ulu Teru)",4.4179767,114.0155348,success
192,Perak,Kinta,23/03/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman","Sungai Perak (RPT Batu 10, Chemor)",4.5980891,101.0899487,success
193,Perak,Kinta,23/03/2025,"Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Perak (Kampung Baru Ulu Chemor),4.5980891,101.0899487,success
194,Johor,Pontian,23/03/2025,"Hujan Lebat / Berterusan, Lain-lain",Sungai Benut (Parit Wak Jabir Laut); Sungai Benut (Parit Abdul Rahman Laut); Sungai Benut (Parit Mohd Arif); Sungai Benut (Jalan Wak Suriadi),1.4869255,103.388961,success
195,Johor,Segamat,23/03/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman",-,2.50346,102.8207542,success
196,Selangor,Kuala Selangor,23/03/2025,"Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Tengi (Laluan FT005 (hadapan kedai DIY Tg Karang)),3.3392354,101.2497808,success
197,Selangor,Klang,23/03/2025,"Hujan Lebat / Berterusan, Saliran Dalaman",-,3.0392164,101.4418818,success
198,Sarawak,Bintulu,23/03/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Batang Tatau (KAKUTP0002 - SK Rh. Keseng); Batang Tatau (KAKUTP0003 - Rh Ado Bilong),3.1738542,113.0428485,success
199,Johor,Segamat,23/03/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman",-,2.50346,102.8207542,success
200,Sarawak,Bintulu,23/03/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Batang Tatau (KAKUTP0001 - Klinik Kesihatan Kakus); Batang Tatau (SK Nanga Tau); Batang Tatau (RUMAH SARAN); Batang Tatau (RUMAH ANDREW); Batang Tatau (RUMAH SAYONG),3.1738542,113.0428485,success
201,Sarawak,Bintulu,22/03/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Batang Kemena (PANDTP0001 - SK Kuala Sigu); Batang Kemena (Rh Jackson & Rh Alexson Anja),3.1738542,113.0428485,success
202,Sarawak,Sibu,22/03/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Batang Rajang (Jalan Pahlawan),2.2883267,111.8312675,success
203,Sarawak,Sibu,22/03/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Batang Rajang (Lorong Oya Lama 22),2.2883267,111.8312675,success
204,Sarawak,Sibu,22/03/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Batang Rajang (Jalan Huo Ping); Batang Rajang (Lorong Chew Hiik Hiong),2.2883267,111.8312675,success
205,Sarawak,Sibu,22/03/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Batang Rajang (Lorong Sungai Merah 2); Batang Rajang (Lorong Tun Abang Haji Openg); Batang Rajang (Lorong Kwong Ann 1),2.2883267,111.8312675,success
206,Sarawak,Sibu,22/03/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Batang Rajang (Lorong Sentosa Timur 4); Batang Rajang (Lorong Sentosa Utara 5); Batang Rajang (Lorong Sentosa Utara 7); Batang Rajang (Lorong Sentosa 8),2.2883267,111.8312675,success
207,Sarawak,Bintulu,22/03/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Batang Kemena (Pekan Tubau); Batang Kemena (Rumah Ding ak Sandai); Batang Kemena (Rumah Jeffery Sulau); Batang Kemena (Rumah Jaya Paran),3.1738542,113.0428485,success
208,Sarawak,Sibu,21/03/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Batang Rajang (Jalan Kampung Datu),2.2883267,111.8312675,success
209,Sarawak,Sibu,21/03/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Batang Rajang (Sibu Town Square); Batang Rajang (Kawasan Sekitar McDonald),2.2883267,111.8312675,success
210,Sabah,Tongod,21/03/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Pembangunan / Pembukaan Tanah / Sampah Sarap, Saliran Dalaman , Struktur / Lintasan Menghalang Laluan Air",Trusan Kinabatangan (Kg.Entilibon Asal); Trusan Kinabatangan (Kg.Linayukan),5.2783414,117.088771,success
211,Sarawak,Song,21/03/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Batang Rajang (Rumah Sudin); Batang Rajang (Rumah Cecelia); Batang Rajang (Lot Kebiau),2.0064401,112.5497602,success
212,Sarawak,Sibu,21/03/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Batang Rajang (Lorong Ding Lik Kong),2.2883267,111.8312675,success
213,Sarawak,Sibu,21/03/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Batang Rajang (Kawasan Sungai Bidut),2.2883267,111.8312675,success
214,Sarawak,Selangau,21/03/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Batang Oya (Jalan Ulu Sungai Pakoh); Batang Oya (Rumah Mambang); Batang Oya (Rumah Dusin); Batang Oya (Jln Sepapa (Jln Utama Menuju Ke Ng Tajam & Ng Tami); Batang Oya (Jln Tabau (Jln Menuju Ke Ng Tajam & Ng Tamin)),2.5400855,112.3405368,success
215,Sarawak,Sibu,21/03/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Batang Rajang (Jalan Then Kung Suk),2.2883267,111.8312675,success
216,Sarawak,Sibu,21/03/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Batang Rajang (Taman Selera Khoo Peng Loong),2.2883267,111.8312675,success
217,Sarawak,Sibu,21/03/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Batang Rajang (Masjid An-Nur); Batang Rajang (Taman Harmoni); Batang Rajang (Jalan Tun Abang Haji Openg),2.2883267,111.8312675,success
218,Sarawak,Sibu,21/03/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Batang Rajang (Jalan Bujang Suntong); Batang Rajang (SJK (C) Methodist),2.2883267,111.8312675,success
219,Sabah,Beaufort,21/03/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Padas (PADSTP0018 - Kg. Bakalau); Sungai Padas (PADSTP0036 - Kg. Binunuk); Sungai Padas (PADSTP0035 - Kg. Balibata); Sungai Padas (PADSTP0019 - Kg. Bingkul); Sungai Padas (PADSTP0051 - Kg. Suasa); Sungai Padas (PADSTP0074 - Kg. Lago); Sungai Padas (Kg. Mempagar); Sungai Padas (PADSTP0020 - Kg. Melulugus); Sungai Padas (Kg. Kukup); Sungai Padas (PADSTP0005 - Kg. Batu 60); Sungai Padas (Kg. Kangsa); Sungai Padas (PADSTP0056 - Kg. Berumbai); Sungai Padas (Kg. Gumarit); Sungai Padas (PADSTP0054 - Kg. Bangkalalak),5.3455687,115.7453354,success
